scientificName,animal,Movement,redlistCategory,populationTrend,Pac_Americas,Cen_Americas,Atl_Americas,Eas_Atlantic,Black_Sea,Eas_Africa,Cen_Asia,Eas_Asia,migratory,EOO,American,AfroPal,Asian,Artificial,Coastal,Forest,Grassland,Savanna,Shrubland,Wetlands,Hemisphere
Fulica atra,Fulica_atra,Full Migrant,Least Concern,Increasing,0,0,0,1,1,1,1,1,1,152000000,0,1,1,1,1,0,1,0,0,1,5
Fulica cornuta,Fulica_cornuta,Not a Migrant,Near Threatened,Decreasing,1,1,0,0,0,0,0,0,0,305000,1,0,0,0,0,0,0,0,0,1,3
Fulica cristata,Fulica_cristata,Not a Migrant,Least Concern,Increasing,0,0,0,1,1,1,0,0,0,27100000,0,1,0,1,1,0,0,0,0,1,5
Fulica gigantea,Fulica_gigantea,Not a Migrant,Least Concern,Stable,1,1,0,0,0,0,0,0,0,876000,1,0,0,0,0,0,0,0,0,1,3
Fulica leucoptera,Fulica_leucoptera,Full Migrant,Least Concern,Stable,1,1,1,0,0,0,0,0,1,6110000,1,0,0,0,0,0,0,0,0,1,3
Fulica rufifrons,Fulica_rufifrons,Full Migrant,Least Concern,Stable,1,1,1,0,0,0,0,0,1,5040000,1,0,0,0,0,0,0,0,0,1,3
Fulvetta cinereiceps,Alcippe_cinereiceps,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,1,1,0,1800000,0,0,1,0,0,1,0,0,1,0,5
Fulvetta danisi,Alcippe_danisi,Not a Migrant,Least Concern,Stable,0,0,0,0,0,0,0,1,0,199000,0,0,1,0,0,1,0,0,1,0,3
Fulvetta formosana,Alcippe_formosana,Not a Migrant,Least Concern,Stable,0,0,0,0,0,0,0,1,0,11500,0,0,1,0,0,1,0,0,1,0,3
Fulvetta ludlowi,Alcippe_ludlowi,Altitudinal Migrant,Least Concern,Decreasing,0,0,0,0,0,0,1,1,0,168000,0,0,1,0,0,1,0,0,1,0,5
Fulvetta manipurensis,Alcippe_manipurensis,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,1,1,0,389000,0,0,1,0,0,1,0,0,1,0,5
Fulvetta ruficapilla,Alcippe_ruficapilla,Not a Migrant,Least Concern,Decreasing,0,0,0,0,0,0,1,1,0,1070000,0,0,1,0,0,1,0,0,1,0,5
Fulvetta striaticollis,Alcippe_striaticollis,Not a Migrant,Least Concern,Unknown,0,0,0,0,0,0,1,1,0,574000,0,0,1,0,0,0,0,0,1,0,1
Fulvetta vinipectus,Alcippe_vinipectus,Altitudinal Migrant,Least Concern,Decreasing,0,0,0,0,0,0,1,1,0,2770000,0,0,1,0,0,1,0,0,1,0,5
Furnarius cinnamomeus,Furnarius_cinnamomeus,Not a Migrant,Least Concern,Increasing,1,1,0,0,0,0,0,0,0,297000,1,0,0,1,0,1,0,0,1,1,3
Furnarius cristatus,Furnarius_cristatus,Not a Migrant,Least Concern,Stable,1,1,1,0,0,0,0,0,0,730000,1,0,0,1,0,0,0,1,1,0,3
Furnarius figulus,Furnarius_figulus,Not a Migrant,Least Concern,Increasing,0,1,1,0,0,0,0,0,0,4160000,1,0,0,1,0,1,0,0,1,1,3
Furnarius leucopus,Furnarius_leucopus,Not a Migrant,Least Concern,Unknown,1,1,1,0,0,0,0,0,0,9070000,1,0,0,1,0,1,0,0,1,1,3
Furnarius longirostris,Furnarius_longirostris,Not a Migrant,Least Concern,Increasing,1,1,1,0,0,0,0,0,0,382000,1,0,0,1,0,1,0,0,1,1,3
Furnarius minor,Furnarius_minor,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,1670000,1,0,0,1,0,0,0,0,1,1,3
Furnarius rufus,Furnarius_rufus,Not a Migrant,Least Concern,Increasing,1,1,1,0,0,0,0,0,0,7630000,1,0,0,1,0,0,0,0,1,0,3
Furnarius torridus,Furnarius_torridus,Not a Migrant,Least Concern,Decreasing,1,1,0,0,0,0,0,0,0,468000,1,0,0,0,0,1,0,0,0,1,3
Gactornis enarratus,Caprimulgus_enarratus,Not a Migrant,Least Concern,Decreasing,0,0,0,0,1,1,0,0,0,364000,0,1,0,0,0,1,0,0,0,0,3
Galbalcyrhynchus leucotis,Galbalcyrhynchus_leucotis,Not a Migrant,Least Concern,Decreasing,1,1,0,0,0,0,0,0,0,1100000,1,0,0,1,0,1,0,0,0,1,3
Galbalcyrhynchus purusianus,Galbalcyrhynchus_purusianus,Not a Migrant,Least Concern,Stable,1,1,0,0,0,0,0,0,0,857000,1,0,0,1,0,1,0,0,0,1,3
Galbula albirostris,Galbula_albirostris,Not a Migrant,Least Concern,Decreasing,0,1,1,0,0,0,0,0,0,2410000,1,0,0,0,0,1,0,0,0,0,3
Galbula chalcocephala,Galbula_albirostris,Not a Migrant,Least Concern,Decreasing,1,1,1,0,0,0,0,0,0,1800000,1,0,0,0,0,1,0,0,0,0,3
Galbula chalcothorax,Galbula_chalcothorax,Not a Migrant,Least Concern,Decreasing,1,1,0,0,0,0,0,0,0,951000,1,0,0,0,0,1,0,0,0,1,3
Galbula cyanescens,Galbula_cyanescens,Not a Migrant,Least Concern,Decreasing,1,1,0,0,0,0,0,0,0,1300000,1,0,0,0,0,1,0,0,0,1,3
