animal,decline,migratory,American,AfroPal,Asian,Artificial,Coastal,Forest,Grassland,Savanna,Shrubland,Wetlands,Hemisphere,EOO
Alophoixus_phaeocephalus,0,0,0,0,1,1,0,1,0,0,0,0,2,3600000
Alophoixus_ochraceus,0,0,0,0,1,0,0,1,0,0,0,0,2,1810000
Alophoixus_bres,0,0,0,0,1,1,0,1,0,0,0,0,2,147000
Alopochelidon_fucata,0,1,1,0,0,0,0,0,1,1,0,1,2,9350000
Alopochen_aegyptiaca,1,0,0,1,0,0,0,0,1,0,0,1,3,28900000
Amadina_erythrocephala,0,0,0,1,0,1,0,1,1,1,1,0,2,3180000
Amadina_fasciata,0,0,0,1,0,0,0,0,1,1,1,0,3,23900000
Amalocichla_incerta,0,0,0,0,1,0,0,1,0,0,0,0,2,752000
Amalocichla_sclateriana,0,0,0,0,1,0,0,1,0,0,0,0,2,294000
Amandava_amandava,0,0,0,0,1,1,0,1,1,0,1,1,3,16300000
Amandava_formosa,1,0,0,0,1,1,0,1,1,0,1,0,2,934000
Amandava_subflava,0,0,0,1,0,1,0,0,1,1,0,1,2,20800000
Amaurocichla_bocagei,0,0,0,1,0,0,0,1,0,0,0,0,2,390
Amaurolimnas_concolor,1,0,1,0,0,1,0,1,0,0,0,0,2,14700000
Amaurornis_magnirostris,1,0,0,0,1,1,0,1,0,0,1,0,2,1200
Aenigmatolimnas_marginalis,1,1,0,1,0,1,0,0,1,1,0,1,2,12400000
Amaurospiza_moesta,1,0,1,0,0,0,0,1,0,0,0,0,2,13600000
Amaurospiza_concolor,0,0,1,0,0,1,0,1,0,0,1,0,3,218000
Amazilia_cyanifrons,0,0,1,0,0,0,0,1,0,0,0,0,2,80
Amazilia_lactea,1,0,1,0,0,1,0,1,0,0,0,0,2,1170000
Amazilia_boucardi,1,0,1,0,0,1,0,1,0,0,0,0,2,1000
Amazilia_candida,1,0,1,0,0,1,0,1,0,0,0,0,3,1090000
Amazilia_castaneiventris,1,0,1,0,0,1,0,1,0,0,1,0,2,11500
Amazilia_viridigaster,1,0,1,0,0,1,0,1,0,0,1,0,2,340000
Amazilia_cyanifrons,0,0,1,0,0,1,0,1,0,0,1,0,2,80
Hylocharis_grayi,1,0,1,0,0,1,0,1,0,0,1,0,2,50200
Hylocharis_grayi,1,0,1,0,0,1,0,1,0,0,0,0,2,50200
Amazilia_lactea,1,0,1,0,0,1,0,1,0,0,0,0,2,1170000
Amazilia_luciae,1,0,1,0,0,0,0,1,0,0,1,0,2,15400
Amazilia_saucerrottei,0,0,1,0,0,1,0,1,0,1,1,0,2,1350000
Amazilia_viridigaster,1,0,1,0,0,1,0,1,0,0,1,0,2,340000
